Bubbaville Brewzers;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Crown Hill Crabbers;HICKMAN, Jim;OF+;2;R;13;1B3, 3B3
Crown Hill Crabbers;OLIVA, Tony;OF;2;L;17; 
Crown Hill Crabbers;SNYDER, Russ;OF;2;L;15; 
Crown Hill Crabbers;VALDESPINO, Sandy;OF;2;L;17; 
Detroit Dirtbags;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Detroit Dirtbags;NIXON, Russ;C;7;L;5; 
Detroit Dirtbags;CORRALES, Pat;C;6;R;5; 
Detroit Dirtbags;ETCHEBARREN, Andy;C;6;R;9; 
Detroit Dirtbags;HUNDLEY, Randy;C;6;R;15; 
Detroit Dirtbags;ZIMMER, Don;C+;5;R;5;2B6, 3B3
Detroit Dirtbags;POWELL, Boog;1B+;3;L;4;OF1
Detroit Dirtbags;MINCHER, Don;1B+;2;L;4;OF1
Detroit Dirtbags;SCHAAL, Paul;3B+;4;R;11;2B6
Detroit Dirtbags;KASKO, Eddie;SS+;8;R;13;3B4
Detroit Dirtbags;de la HOZ, Mike;SS+;7;R;6;1B2, 2B7, 3B3
Detroit Dirtbags;HARRELSON, Bud;SS;7;R;17; 
Detroit Dirtbags;FRANCONA, Tito;OF+;2;L;6;1B2
Detroit Dirtbags;HARPER, Tommy;OF+;2;R;19;2B5, 3B3
Detroit Dirtbags;PEARSON, Albie;OF;2;L;18; 
Detroit Dirtbags;TRESH, Tom;OF;2;B;16; 
Detroit Dirtbags;CRAWFORD, Willie;OF;1;L;17; 
Detroit Dirtbags;JONES, Cleon;OF;1;R;16; 
Germantown Toros;PLAYERS - 19;Pos;D;B;Sp;Other Positions
Germantown Toros;BAILEY, Ed;C+;8;L;3;1B2
Germantown Toros;BRAND, Ron;C+;6;R;16;3B3, OF1
Germantown Toros;GIBBS, Jake;C;6;L;13; 
Germantown Toros;GONDER, Jesse;C;6;L;4; 
Germantown Toros;MAY, Jerry;C;5;R;7; 
Germantown Toros;BANKS, Ernie;1B;4;R;10; 
Germantown Toros;KILLEBREW, Harmon;1B+;2;R;4;3B3, OF1
Germantown Toros;ADAIR, Jerry;2B;8;R;15; 
Germantown Toros;SMITH, Charley;3B+;4;R;10;2B5, SS7
Germantown Toros;AMARO, Ruben;SS+;9;R;15;1B4, 2B6
Germantown Toros;BRESSOUD, Eddie;SS+;7;R;8;3B3, OF1
Germantown Toros;KESSINGER, Don;SS;7;R;18; 
Germantown Toros;GONZALEZ, Tony;OF;2;L;17; 
Germantown Toros;LANDRUM, Don;OF;2;L;17; 
Germantown Toros;BROWN, Gates;OF;1;L;15; 
Germantown Toros;CHRISTOPHER, Joe;OF;1;R;16; 
Germantown Toros;SHAMSKY, Art;OF+;1;L;7;1B2
Germantown Toros;UHLAENDER, Ted;OF;1;L;16; 
Germantown Toros;VALENTINE, Fred;OF;1;B;17; 
Melbourne Thunder;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Melbourne Thunder;CRANDALL, Del;C;9;R;4; 
Melbourne Thunder;RODGERS, Bob;C;8;B;15; 
Melbourne Thunder;CASANOVA, Paul;C;6;R;15; 
Melbourne Thunder;ROZNOVSKY, Vic;C;6;L;6; 
Melbourne Thunder;WHITFIELD, Fred;1B;2;L;6; 
Melbourne Thunder;JAVIER, Julian;2B;8;R;18; 
Melbourne Thunder;GONZALEZ, Pedro;2B+;7;R;17;3B3, OF1
Melbourne Thunder;LEFEBVRE, Jim;2B;7;B;7; 
Melbourne Thunder;MALZONE, Frank;3B;5;R;6; 
Melbourne Thunder;WERT, Don;3B+;5;R;11;2B5, SS6
Melbourne Thunder;WINE, Bobby;SS+;9;R;9;1B3
Melbourne Thunder;KUBEK, Tony;SS+;8;L;14;1B2, OF2
Melbourne Thunder;MAYS, Willie;OF;3;R;18; 
Melbourne Thunder;BRANDT, Jackie;OF;2;R;16; 
Melbourne Thunder;HERSHBERGER, Mike;OF;2;R;17; 
Melbourne Thunder;HORTON, Willie;OF+;2;R;7;3B3
Melbourne Thunder;WAGNER, Leon;OF;1;L;10; 
Mill Creek Crankers;PLAYERS - 20;Pos;D;B;Sp;Other Positions
Mill Creek Crankers;DALRYMPLE, Clay;C;8;L;4; 
Mill Creek Crankers;ROSEBORO, John;C+;8;L;13;3B3
Mill Creek Crankers;HIATT, Jack;C+;6;R;7;1B2
Mill Creek Crankers;PARKER, Wes;1B+;5;B;17;OF2
Mill Creek Crankers;McCRAW, Tom;1B+;3;L;18;OF1
Mill Creek Crankers;BUFORD, Don;2B+;7;B;18;3B4
Mill Creek Crankers;HAMLIN, Ken;2B+;6;R;15;3B3, SS7
Mill Creek Crankers;ROBINSON, Brooks;3B;6;R;7; 
Mill Creek Crankers;LOCKWOOD, Skip;3B;3;R;14; 
Mill Creek Crankers;ALOMAR, Sandy;SS+;8;R;17;2B7
Mill Creek Crankers;BROWN, Larry;SS+;8;R;16;2B6
Mill Creek Crankers;RODGERS, Andre;SS+;8;R;11;1B2, 2B5, 3B3
Mill Creek Crankers;CAMPANERIS, Bert;SS+;6;R;19;P1, C5, 1B2, 2B5, 3B3, OF1
Mill Creek Crankers;DAVIS, Willie;OF;2;L;19; 
Mill Creek Crankers;JOHNSON, Lou;OF;2;R;16; 
Mill Creek Crankers;JONES, Mack;OF;2;L;17; 
Mill Creek Crankers;STANLEY, Mickey;OF;2;R;16; 
Mill Creek Crankers;TOLAN, Bobby;OF;2;L;18; 
Mill Creek Crankers;NORTHRUP, Jim;OF;1;L;14; 
Mill Creek Crankers;OLIVER, Bob;OF;1;R;15; 
Milwaukee Lagers;PLAYERS - 19;Pos;D;B;Sp;Other Positions
Milwaukee Lagers;BRYAN, Billy;C;6;L;4; 
Milwaukee Lagers;TILLMAN, Bob;C;6;R;4; 
Milwaukee Lagers;POWER, Vic;1B+;5;R;14;2B6, 3B3
Milwaukee Lagers;NEN, Dick;1B;3;L;7; 
Milwaukee Lagers;REESE, Rich;1B+;3;L;9;OF1
Milwaukee Lagers;ALLEN, Bernie;2B+;7;L;8;3B3
Milwaukee Lagers;MORGAN, Joe;2B;7;L;19; 
Milwaukee Lagers;WEIS, Al;2B+;7;B;18;3B3, SS7, OF1
Milwaukee Lagers;ASPROMONTE, Bob;3B+;4;R;6;1B2, SS6
Milwaukee Lagers;TRACEWSKI, Dick;3B+;3;R;16;2B6, SS7
Milwaukee Lagers;WARD, Pete;3B+;3;L;9;2B6
Milwaukee Lagers;FREGOSI, Jim;SS;8;R;16; 
Milwaukee Lagers;BLAIR, Paul;OF;3;R;17; 
Milwaukee Lagers;BERRY, Ken;OF;2;R;17; 
Milwaukee Lagers;TARTABULL, Jose;OF;2;L;18; 
Milwaukee Lagers;ALLISON, Bob;OF+;1;R;16;1B2
Milwaukee Lagers;KIRKPATRICK, Ed;OF;1;L;11; 
Milwaukee Lagers;LYNCH, Jerry;OF;1;L;3; 
Milwaukee Lagers;STAUB, Rusty;OF+;1;L;11;1B2
Pasco Buffet;PLAYERS - 18;Pos;D;B;Sp;Other Positions
Pasco Buffet;BATTEY, Earl;C;8;R;3; 
Pasco Buffet;ZIMMERMAN, Jerry;C;8;R;4; 
Pasco Buffet;LAU, Charlie;C;7;L;5; 
Pasco Buffet;STUART, Dick;1B+;3;R;4;3B3
Pasco Buffet;THOMAS, Lee;1B+;3;L;8;OF2
Pasco Buffet;MAZEROSKI, Bill;2B;9;R;13; 
Pasco Buffet;SCHILLING, Chuck;2B;8;R;12; 
Pasco Buffet;ALLEN, Dick;3B+;3;R;18;SS6
Pasco Buffet;HART, Jim Ray;3B+;3;R;15;OF1
Pasco Buffet;APARICIO, Luis;SS;9;R;18; 
Pasco Buffet;JACKSON, Sonny;SS+;7;L;18;3B3
Pasco Buffet;AARON, Hank;OF;3;R;17; 
Pasco Buffet;CONIGLIARO, Tony;OF;2;R;15; 
Pasco Buffet;JOHNSON, Alex;OF;1;R;17; 
Pasco Buffet;MOTA, Manny;OF;1;R;17; 
Pasco Buffet;SCHEINBLUM, Richie;OF;1;B;7; 
Pasco Buffet;SKINNER, Bob;OF;1;L;8; 
Pasco Buffet;SMITH, Willie;OF+;1;L;16;1B2
Philadelphia J's;PLAYERS - 15;Pos;D;B;Sp;Other Positions
Philadelphia J's;UECKER, Bob;C;8;R;6; 
Philadelphia J's;BERTELL, Dick;C;7;R;5; 
Philadelphia J's;BROWN, Dick;C;7;R;5; 
Philadelphia J's;PEPITONE, Joe;1B+;4;L;11;OF1
Philadelphia J's;PEREZ, Tony;1B;2;R;7; 
Philadelphia J's;ROSE, Pete;2B;7;B;16; 
Philadelphia J's;BOYER, Clete;3B+;6;R;7;SS7
Philadelphia J's;FREESE, Gene;3B;3;R;9; 
Philadelphia J's;CARDENAS, Leo;SS;9;R;17; 
Philadelphia J's;LINZ, Phil;SS+;8;R;17;2B6, 3B4, OF1
Philadelphia J's;CALLISON, Johnny;OF;3;L;17; 
Philadelphia J's;ALOU, Matty;OF;2;L;17;P1
Philadelphia J's;BROCK, Lou;OF;2;L;19; 
Philadelphia J's;SHANNON, Mike;OF+;2;R;15;C5
Philadelphia J's;WILLIAMS, Billy;OF;2;L;16; 
Portland Peaks;PLAYERS - 15;Pos;D;B;Sp;Other Positions
Portland Peaks;HOWARD, Elston;C+;9;R;4;1B2, OF1
Portland Peaks;LACHEMANN, Rene;C;6;R;7; 
Portland Peaks;STEPHENSON, John;C+;6;L;4;OF1
Portland Peaks;WHITE, Bill;1B;5;L;15; 
Portland Peaks;CHANCE, Bob;1B+;2;L;4;OF1
Portland Peaks;RICHARDSON, Bobby;2B;9;R;16; 
Portland Peaks;MATHEWS, Eddie;3B;5;L;15; 
Portland Peaks;VERSALLES, Zoilo;SS;9;R;18; 
Portland Peaks;LILLIS, Bob;SS+;8;R;14;2B7, 3B4
Portland Peaks;CLEMENTE, Roberto;OF;3;R;18; 
Portland Peaks;PINSON, Vada;OF;3;L;19; 
Portland Peaks;GRIFFITH, Derrell;OF;1;L;16; 
Portland Peaks;LEWIS, Johnny;OF;1;L;14; 
Portland Peaks;STARGELL, Willie;OF+;1;L;7;1B2
Portland Peaks;STEWART, Jimmy;OF+;1;B;16;SS6
Scottsburgh Spiders;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Scottsburgh Spiders;TORRE, Joe;C+;8;R;5;1B4
Scottsburgh Spiders;TORBORG, Jeff;C;7;R;7; 
Scottsburgh Spiders;McCOVEY, Willie;1B;3;L;6; 
Scottsburgh Spiders;AMALFITANO, Joey;2B+;7;R;15;3B3, SS6
Scottsburgh Spiders;LANIER, Hal;2B+;7;R;13;SS6
Scottsburgh Spiders;ALVIS, Max;3B;4;R;15; 
Scottsburgh Spiders;CLARKE, Horace;3B+;3;B;18;2B6, SS6
Scottsburgh Spiders;McMILLAN, Roy;SS;8;R;6; 
Scottsburgh Spiders;HELMS, Tommy;SS+;7;R;15;2B5, 3B3
Scottsburgh Spiders;PIERSALL, Jimmy;OF;3;R;15; 
Scottsburgh Spiders;ALOU, Felipe;OF+;2;R;17;1B3, 3B3, SS6
Scottsburgh Spiders;COWAN, Billy;OF+;2;R;16;2B5, SS6
Scottsburgh Spiders;YASTRZEMSKI, Carl;OF;2;L;14; 
Scottsburgh Spiders;CATER, Danny;OF+;1;R;8;1B2, 3B3
Scottsburgh Spiders;LOPEZ, Hector;OF+;1;R;6;1B2
Scottsburgh Spiders;PETERSON, Cap;OF;1;R;9; 
Seattle Sluggers;PLAYERS - 17;Pos;D;B;Sp;Other Positions
Seattle Sluggers;ROMANO, Johnny;C+;7;R;5;1B2, OF1
Seattle Sluggers;JOSEPHSON, Duane;C;6;R;8; 
Seattle Sluggers;HARRELSON, Ken;1B+;3;R;10;OF1
Seattle Sluggers;GREEN, Dick;2B;7;R;12; 
Seattle Sluggers;HUNT, Ron;2B+;7;R;13;3B3
Seattle Sluggers;CHARLES, Ed;3B+;4;R;17;2B6, SS6
Seattle Sluggers;BRINKMAN, Ed;SS;9;R;12; 
Seattle Sluggers;FUENTES, Tito;SS+;6;R;17;2B6, 3B3
Seattle Sluggers;MURCER, Bobby;SS;6;L;17; 
Seattle Sluggers;VIRDON, Bill;OF;3;L;15; 
Seattle Sluggers;BRIGGS, Johnny;OF;2;L;17; 
Seattle Sluggers;HENDERSON, Ken;OF;2;B;17; 
Seattle Sluggers;MARIS, Roger;OF;2;L;14; 
Seattle Sluggers;ROBINSON, Floyd;OF;2;L;14; 
Seattle Sluggers;GABRIELSON, Len;OF+;1;L;15;1B2
Seattle Sluggers;QUEEN, Mel;OF;1;L;10; 
Seattle Sluggers;WHITE, Roy;OF+;1;B;17;2B5
Tardtown Twin Killers;PLAYERS - 19;Pos;D;B;Sp;Other Positions
Tardtown Twin Killers;FREEHAN, Bill;C;9;R;15; 
Tardtown Twin Killers;PAVLETICH, Don;C+;7;R;6;1B2
Tardtown Twin Killers;BURGESS, Smoky;C;6;L;2; 
Tardtown Twin Killers;ADCOCK, Joe;1B;3;R;3; 
Tardtown Twin Killers;COLEMAN, Gordy;1B;3;L;5; 
Tardtown Twin Killers;ALYEA, Brant;1B+;2;R;5;OF1
Tardtown Twin Killers;KNOOP, Bobby;2B;8;R;10; 
Tardtown Twin Killers;LUMPE, Jerry;2B;8;L;8; 
Tardtown Twin Killers;BOYER, Ken;3B;5;R;15; 
Tardtown Twin Killers;BELANGER, Mark;SS;8;R;16; 
Tardtown Twin Killers;SCHOFIELD, Dick;SS;8;B;13; 
Tardtown Twin Killers;PETROCELLI, Rico;SS;7;R;7; 
Tardtown Twin Killers;FLOOD, Curt;OF;3;R;17; 
Tardtown Twin Killers;KALINE, Al;OF+;3;R;14;3B3
Tardtown Twin Killers;AGEE, Tommie;OF;2;R;18; 
Tardtown Twin Killers;LOCK, Don;OF;2;R;12; 
Tardtown Twin Killers;ROBINSON, Frank;OF;2;R;18; 
Tardtown Twin Killers;FERRARA, Al;OF;1;R;6; 
Tardtown Twin Killers;SAVAGE, Ted;OF;1;R;18; 
Tri City Atomics;PLAYERS - 16;Pos;D;B;Sp;Other Positions
Tri City Atomics;EDWARDS, Johnny;C;8;L;6; 
Tri City Atomics;PAGLIARONI, Jim;C;8;R;4; 
Tri City Atomics;JOHNSON, Bob;1B+;3;R;15;2B6, 3B3, SS6
Tri City Atomics;KRANEPOOL, Ed;1B;3;L;7; 
Tri City Atomics;MAY, Lee;1B;2;R;7; 
Tri City Atomics;TAYLOR, Tony;2B+;7;R;17;3B3
Tri City Atomics;JOHNSON, Deron;3B;3;R;5; 
Tri City Atomics;JONES, Dalton;3B+;3;L;15;2B6
Tri City Atomics;ROLLINS, Rich;3B+;3;R;10;2B5
Tri City Atomics;GROAT, Dick;SS+;8;R;4;3B4
Tri City Atomics;WOODWARD, Woody;SS+;8;R;13;2B6
Tri City Atomics;COLAVITO, Rocky;OF;3;R;4; 
Tri City Atomics;DAVALILLO, Vic;OF;3;L;18; 
Tri City Atomics;ALOU, Jesus;OF;2;R;16; 
Tri City Atomics;MANTLE, Mickey;OF;2;B;16; 
Tri City Atomics;DAVIS, Tommy;OF;1;R;15; 
Vegas Gamblerz;PLAYERS - 20;Pos;D;B;Sp;Other Positions
Vegas Gamblerz;BRUMLEY, Mike;C;7;L;8; 
Vegas Gamblerz;MARTIN, J.C.;C+;7;L;8;1B2, 3B3
Vegas Gamblerz;ORSINO, John;C+;7;R;5;1B2
Vegas Gamblerz;BARKER, Ray;1B+;3;L;6;3B3
Vegas Gamblerz;SKOWRON, Bill;1B;3;R;3; 
Vegas Gamblerz;BLASINGAME, Don;2B;8;L;15; 
Vegas Gamblerz;MAXVILL, Dal;2B+;8;R;16;SS8
Vegas Gamblerz;BECKERT, Glenn;2B;7;R;14; 
Vegas Gamblerz;TOVAR, Cesar;2B+;6;R;18;3B3, SS6, OF1
Vegas Gamblerz;McMULLEN, Ken;3B+;3;R;4;1B2, OF1
Vegas Gamblerz;SATRIANO, Tom;3B+;3;L;8;C6, 1B2, 2B6
Vegas Gamblerz;HOWSER, Dick;SS+;8;R;18;2B6
Vegas Gamblerz;ALLEY, Gene;SS+;7;R;17;2B5, 3B3
Vegas Gamblerz;CARDENAL, Jose;OF+;2;R;18;2B5, 3B3
Vegas Gamblerz;DEMETER, Don;OF+;2;R;8;1B2
Vegas Gamblerz;HELD, Woodie;OF+;2;R;9;2B6, 3B4, SS7
Vegas Gamblerz;HINTON, Chuck;OF+;2;R;18;1B2, 2B5, 3B3
Vegas Gamblerz;WYNN, Jimmy;OF;2;R;18; 
Vegas Gamblerz;COVINGTON, Wes;OF;1;L;3; 
Vegas Gamblerz;REICHARDT, Rick;OF;1;R;16; 
